Timestamp,PCT1402-01:mA:fbk,PCT1402-01:mAChange,PCT1402-01:timeConstant
2022/12/07 14:19:59.279,218.91115352425282,N/A,N/A
2022/12/07 14:19:59.331,N/A,-0.0020984207999958926,N/A
2022/12/07 14:20:24.775,N/A,N/A,22.477862860594534
2022/12/07 14:20:59.273,218.97750359145283,N/A,N/A
2022/12/07 14:20:59.339,N/A,-0.0014988719999848854,N/A
2022/12/07 14:21:24.763,N/A,N/A,22.7518820387889
2022/12/07 14:21:59.271,218.9977883258528,N/A,N/A
2022/12/07 14:21:59.294,N/A,-0.0020984207999958926,N/A
2022/12/07 14:22:24.765,N/A,N/A,22.631075369307666
2022/12/07 14:22:59.264,219.0347605018528,N/A,N/A
2022/12/07 14:22:59.312,N/A,-0.0017986464000330216,N/A
2022/12/07 14:23:24.759,N/A,N/A,22.66562520340208
2022/12/07 14:23:59.260,219.03056366025282,N/A,N/A
